Date,Content,Created by,Labels,Reach,Completion rate (%),Video replays,Watched fully,Engagement,Engagement rate per impression (%),Engagement rate per reach (%),Impressions,Url
12/22/2023 04:27 PM EST -0500,"Looking for a quick and budget-friendly vegan dessert recipe to share this holiday? Try this delicious Lemon Carlota - and tell us what you think!  Recipe -  Lemon Carlota    🍋You will need:  3 packs of silken tofu (1kg) 3/4 cup lemon juice 3/4 cup sugar 3 teaspoons vanilla extract 2 and 1/2 packets of your favorite vegan cookies/wafers Directions: 🍋Add all the ingredients except the cookies to the blender, and process very well until you get a super creamy texture. In your mold or dessert pan, make a layer of cookies at the bottom. Add a layer of the tofu cream to cover the cookies. On top of the tofu add another layer of cookies and cover them with another layer of tofu. Continue like this until you finish with a layer of tofu on top. Let it sit in the refrigerator overnight. 🍋The next day decorate with a little lemon zest and leftover cookies. Cut into squares and serve! 💕Save & share this recipe ✏️Leave us your opinion in the comments 🍪 More great recipes and 5 free vegan challenges: Genv.org/recipes/ #ChristmasVeganRecipes #HolidayCooking #CompassionInTheKitchen #VeganIsYummy #LemonCarlotaRecipe #VeganEdition #Recipes #FoodiesOfTikTok #Dessert #PlantBasedSweets #Healthy #PlantBased",,,420,12.0,38,11,13,2.8,3.1,458,https://www.tiktok.com/@genv_eng/video/7315533888456101166?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/22/2023 05:40 PM EST -0500,"Despite the fog of war and constant air raid alarms, Every Animal continues to serve animals and their country by providing vegan care packages. Generation Vegan documented the strength of those fighting to end violence and oppression of humans and animals alike. 🕊️ #Ukraine #veganism #activism #peace",,,422,15.7,40,8,36,7.8,8.5,462,https://www.tiktok.com/@genv_eng/video/7315552628199509279?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/23/2023 00:17 PM EST -0500,"This is the story of Pastor Munro. 🙏 After suffering three strokes, the priest knew he needed to change his diet.  His research on plant-based health led him to see for the first time the horrors that animals are forced to face in our food system. He chose to extend compassion to ALL of God's creatures.🕊️ Protect animals from suffering in the farming industry. Choose veganism 🌱 Watch the full interview on our YouTube! https://youtu.be/iV99x6CCaMA #DietChange #Priest #Religion #HeartHealth #Nutrition #PowerofPlants",,,734,24.0,89,23,77,9.4,10.5,823,https://www.tiktok.com/@genv_eng/video/7315840531441929514?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/24/2023 05:09 PM EST -0500,Humane meat is a marketing lie. The only truly humane option for our Christmas plates this holiday season is to leave animals off them. ____ #turkey #HumaneMeat #Christmas #Holidays,,,153955,46.7,12772,50801,4064,2.4,2.6,166727,https://www.tiktok.com/@genv_eng/video/7316286791189859615?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/25/2023 10:29 AM EST -0500,Every vegans Christmas wish 🎅🎄🎁  Can you make it come true? #Christmas #Holiday #MakeaWish #Vegan #AllIWantForChristmas,,,546,43.8,53,91,58,9.7,10.6,599,https://www.tiktok.com/@genv_eng/video/7316554674541202719?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/25/2023 01:01 PM EST -0500,"Happy holidays from the GEN-V team! 🌟🎄 Wishing you a season filled with joy, warmth, and sustainable celebrations. Here's to spreading love and kindness in every corner of the world. ✨  Click the link in our bio to check out our free 30 -day vegan challenge and get your loved ones to sign up! ______ https://genv.org/go-vegan/ #GENVTeam #HappyHolidays",,,172,15.7,10,3,11,6.0,6.4,182,https://www.tiktok.com/@genv_eng/video/7316593940537380138?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/27/2023 06:46 PM EST -0500,"Pro athlete Dotsie Bausch of Switch 4 Good shows us that a plant-based diet can fuel strength, speed, and endurance while also promoting compassion and sustainability. Join the movement towards a healthier you and a healthier planet with plant-based eating! 🌱🌍 @Switch4Good  #VeganAthlete #Olympics #athlete #inspiration #protein",,,688,18.3,102,52,115,14.6,16.7,790,https://www.tiktok.com/@genv_eng/video/7317424992189304094?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/29/2023 04:04 PM EST -0500,"There’s more in common between Veganism and Islam than you may think. @altamushsaeed explores the parallels, urging us to expand our circle of compassion beyond humans to embrace farmed animals too. 🤝💚  Check out the full interview on our YouTube channel. https://youtu.be/gt8YbpXxEJE  #VeganIslam #CompassionBeyondBoundaries #Faith #Relgion #Halal #Haram #Meat #Vegan",,,356,33.8,34,42,32,8.2,9.0,390,https://www.tiktok.com/@genv_eng/video/7318125306756205866?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/30/2023 03:59 PM EST -0500,"🌎✨ In a world seemingly divided, kindness is a revolutionary force. We journey through life side by side, sharing this planet and all it gives us. Our destinies are intertwined, and acting for the good of one is a boon for all.   🌟✨ New Year, new perspective! Let's shift the focus from self-improvement to spreading kindness in 2024. This year, explore some ideas from the GenV family to make a positive impact on others.  If embracing veganism tops your list this year, go to genv.org/go-vegan to explore our free 7-day and 30-day challenges. Let us guide you on this transformative journey.  #NewYearNewKindness #SpreadLove #2024Goals #CompassionInAction #VeganLife #NewYearNewYou",,,315,10.9,24,7,13,3.8,4.1,339,https://www.tiktok.com/@genv_eng/video/7318495268196846891?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/31/2023 04:26 PM EST -0500,"Reflecting on an incredible year at GenV! 🌱  From launching thousands of vegan ads to rescuing animals and providing meals worldwide, we couldn't have done it without your support.  We’re grateful for our amazing community and excited for what 2024 holds! 💚 #VeganImpact #YearInReview #SpeakingUpForAnimals #YouCanDoItToo #Spotify ",,,262,4.9,20,0,13,4.6,5.0,282,https://www.tiktok.com/@genv_eng/video/7318873331845909802?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
