Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~11797770,"Global Reporting Initiative+Male employees, GRI 102-8-a (formerly G4-10-a)",Tate & Lyle PLC,2021,3109,https://wikirate.org/~11795456,11797770.0,https://www.tateandlyle.com/sites/default/files/2021-06/annual-report-2021.pdf,1.0,I found a website with a percentage of female employees but am not able to update it as a source. Maike Connemann[https://wikirate.org/Maike_Connemann].....2022-02-12 13:42:32 UTC found on page 51 Maike Connemann[https://wikirate.org/Maike_Connemann].....2022-02-12 20:50:27 UTC,GB00BP92CJ43;US8765707067
https://wikirate.org/~11998471,Global Reporting Initiative+Male Worker Fatalities (G4-LA6-a),Tate & Lyle PLC,2021,Unknown,https://wikirate.org/~11795456,11998471.0,https://www.tateandlyle.com/sites/default/files/2021-06/annual-report-2021.pdf,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/~3173561,Business & Human Rights Resource Centre+Modern Slavery Statement,Tate & Lyle PLC,2016,Yes - UK Modern Slavery Act,https://wikirate.org/~3153566,3173561.0,,1.0,"This Statement sets out the steps that Tate & Lyle PLC has taken to ensure that slavery and human trafficking is not taking place in any of our supply chains or in any part of our business, for the financial year ended 31st March 2016, Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 10:47:08 UTC",GB00BP92CJ43;US8765707067
https://wikirate.org/~13756685,Business & Human Rights Resource Centre+Modern Slavery Statement,Tate & Lyle PLC,2021,Yes - UK Modern Slavery Act,https://wikirate.org/~13256142,13756685.0,https://www.tateandlyle.com/sites/default/files/2022-05/modern-slavery-act-statement-fy22.pdf,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/~16541386,Business & Human Rights Resource Centre+Modern Slavery Statement,Tate & Lyle PLC,2022,Yes - UK Modern Slavery Act,https://wikirate.org/~16514738,16541386.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/CD3DuP2T/2023/modern-slavery-act-statement-fy23-final.pdf,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/~19947127,Business & Human Rights Resource Centre+Modern Slavery Statement,Tate & Lyle PLC,2023,Yes - UK Modern Slavery Act,https://wikirate.org/~19881647,19947127.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/CD3DuP2T/2024/2024 Statement on anti-slavery forced and child labour and human trafficking- final.pdf,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+Tate_Lyle_PLC+2016,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,Tate & Lyle PLC,2016,10.0,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+Tate_Lyle_PLC+2021,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,Tate & Lyle PLC,2021,10.0,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+Tate_Lyle_PLC+2022,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,Tate & Lyle PLC,2022,10.0,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+Tate_Lyle_PLC+2023,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,Tate & Lyle PLC,2023,10.0,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/GreenDex+Modern_Slavery_Statement+Tate_Lyle_PLC+2016,GreenDex+Modern Slavery Statement,Tate & Lyle PLC,2016,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/GreenDex+Modern_Slavery_Statement+Tate_Lyle_PLC+2017,GreenDex+Modern Slavery Statement,Tate & Lyle PLC,2017,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/GreenDex+Modern_Slavery_Statement+Tate_Lyle_PLC+2021,GreenDex+Modern Slavery Statement,Tate & Lyle PLC,2021,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/GreenDex+Modern_Slavery_Statement+Tate_Lyle_PLC+2022,GreenDex+Modern Slavery Statement,Tate & Lyle PLC,2022,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/GreenDex+Modern_Slavery_Statement+Tate_Lyle_PLC+2023,GreenDex+Modern Slavery Statement,Tate & Lyle PLC,2023,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/~3174171,Walk Free+MSA Business Performance Indicators,Tate & Lyle PLC,2016,No,https://wikirate.org/~3153566,3174171.0,,1.0,"We do not have key performance indicators specifically in relation to slavery or human trafficking as any instance would be a non-compliance and breach of employment laws, our direct employment practices, wider Group policies / standards and / or our Code of Ethics. Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 11:28:57 UTC",GB00BP92CJ43;US8765707067
https://wikirate.org/~3174155,Business & Human Rights Resource Centre+MSA homepage link (archived),Tate & Lyle PLC,2017,Yes,https://wikirate.org/~3173609,3174155.0,https://www.tateandlyle.com/home,1.0,In the footnotes of the main website. Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 11:27:18 UTC,GB00BP92CJ43;US8765707067
https://wikirate.org/~3174198,Walk Free+MSA Identification of risks,Tate & Lyle PLC,2016,Resource,https://wikirate.org/~3153566,3174198.0,,1.0,"We consider that the greatest risk of slavery and human trafficking is in our supply chain where we undertake procurement activities, including our procurement of things that do not go into our products, and where operations and managerial oversight are out of our direct control. Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 11:31:05 UTC",GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Identification_of_risks_binary+Tate_Lyle_PLC+2016,Walk Free+MSA Identification of risks (binary),Tate & Lyle PLC,2016,Yes,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Identification_of_risks_grouped+Tate_Lyle_PLC+2016,Walk Free+MSA Identification of risks (grouped),Tate & Lyle PLC,2016,Resource,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/~3174148,Walk Free+MSA incidents identified,Tate & Lyle PLC,2016,No,https://wikirate.org/~3153566,3174148.0,,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_incidents_remediation_binary+Tate_Lyle_PLC+2015,Walk Free+MSA incidents remediation (binary),Tate & Lyle PLC,2015,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/~3174126,Walk Free+MSA incidents remediation (revised),Tate & Lyle PLC,2015,No,https://wikirate.org/~3153566,3174126.0,,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_KPIs_combined+Tate_Lyle_PLC+2016,Walk Free+MSA KPIs (combined),Tate & Lyle PLC,2016,No,,,,,,GB00BP92CJ43;US8765707067
