Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Mitsubishi_Corporation+2016,Walk Free+Australian MSA Registry Submission,Mitsubishi Corporation,2016,No,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Mitsubishi_Corporation+2017,Walk Free+Australian MSA Registry Submission,Mitsubishi Corporation,2017,No,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Mitsubishi_Corporation+2020,Walk Free+Australian MSA Registry Submission,Mitsubishi Corporation,2020,No,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Mitsubishi_Corporation+2021,Walk Free+Australian MSA Registry Submission,Mitsubishi Corporation,2021,No,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Mitsubishi_Corporation+2015,Walk Free+Australian MSA statement assessed,Mitsubishi Corporation,2015,No,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Mitsubishi_Corporation+2016,Walk Free+Australian MSA statement assessed,Mitsubishi Corporation,2016,No,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Mitsubishi_Corporation+2017,Walk Free+Australian MSA statement assessed,Mitsubishi Corporation,2017,No,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Mitsubishi_Corporation+2021,Walk Free+Australian MSA statement assessed,Mitsubishi Corporation,2021,No,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~20266539,"Global Reporting Initiative+Average hours of training (female), GRI 404-1 (formerly G4-LA9)",Mitsubishi Corporation,2023,Unknown,https://wikirate.org/~20265908,20266539.0,,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~20266141,"Global Reporting Initiative+Average hours of training, GRI 404-1 (formerly G4-LA9)",Mitsubishi Corporation,2022,21.8,https://wikirate.org/~20265908,20266141.0,,1.0,pg220 Matthew noble[https://wikirate.org/Matthew_noble].....2024-11-25 13:18:06 UTC,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~20266535,"Global Reporting Initiative+Average hours of training (male), GRI 404-1 (formerly G4-LA9)",Mitsubishi Corporation,2023,Unknown,https://wikirate.org/~20265908,20266535.0,,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~8023929,Minerals Sourcing+Bilateral SoR Engagement - Downstream Companies (Step 1.D.2.2),Mitsubishi Corporation,2018,No,https://wikirate.org/~7931470,8023929.0,https://www.mitsubishicorp.com/jp/en/ir/library/esg/pdf/S07.pdf,1.0,Not mentioned,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~8024222,Minerals Sourcing+CAHRAs Risk Comparison (Step 2.A.2),Mitsubishi Corporation,2018,No,https://wikirate.org/~7931470,8024222.0,https://www.mitsubishicorp.com/jp/en/ir/library/esg/pdf/S07.pdf,1.0,Disclosure on risk management and assessment does not mention minerals at all,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~14374121,Net Zero Tracker+Carbon Credit Conditions,Mitsubishi Corporation,2021,No conditions specified,https://wikirate.org/~14316110,14374121.0,,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~19623668,Net Zero Tracker+Carbon Credit Conditions,Mitsubishi Corporation,2023,No conditions specified,https://wikirate.org/~16368304,19623668.0,https://zerotracker.net/,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~14374117,Net Zero Tracker+Carbon Credit Offsets,Mitsubishi Corporation,2021,Yes,https://wikirate.org/~14316110,14374117.0,,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~19623636,Net Zero Tracker+Carbon Credit Offsets,Mitsubishi Corporation,2023,Yes,https://wikirate.org/~16368304,19623636.0,https://zerotracker.net/,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
