email_url,content,type,position,date,emails_sent,open_rate,click_through_rate,delivery_rate,bounce_rate,unsubscribe_rate,spam_rate,share_rate
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=05B4740A73AF86D82540EF23F30FEDED&temp=False&tx=0&source=Report,"© 2022 Million Dollar Vegan INC. All Rights ReservedCancelar la suscripciónpara no recibir más nuestros correosMillion Dollar Vegan INC -133 East de la Guerra Street #396,Santa Barbara, CA 93101-2228, U.S.A.",text,17,13 Jul 2022,"60,531",0.04,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,https://i1.createsend1.com/ti/t/99/2D6/7D8/225236/logo.png,image,1,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,https://i1.createsend1.com/ei/t/5E/5AE/D4C/csimport/pastivegetali.031550.jpg,image,2,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,"Carə Amicə,",text,3,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,"Mentre il 2021 volgeva al termine abbiamo continuato acondividere solidarietà alimentare vegetalecon comunità non-vegan in tutto il mondo, donando pacchi-spesa vegetali ai senzatetto di Sète, in Francia; pasti a comunità femminili desiderose di migliorare la propria salute a Playa del Carmen, Messico; alimenti vegetali a comunità vulnerabili a Buenos Aires, Argentina; pasti vegetali ad impiegati di Dubai, EAU; pasti per vigili del fuoco e personale medico a Santa Barbara, USA; piatti vegetali ai visitatori di un mercato a Barcellona, Spagna; pacchi spesa e pasti ai lustrascarpe di La 
Paz, Bolivia; e 45.000 pranzi per i bambini e gli insegnanti di tre diverse scuole nel Maasai Mara, Kenia.",text,4,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,Leggi di più sui nostri progetti di solidarietà alimentare qui.,text,5,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,https://i2.createsend1.com/ei/t/5E/5AE/D4C/csimport/food-solidarity.185117.031534.jpg,image,6,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,"Per altre notizie e informazioni, seguici suFacebookeInstagram(Italiano),Twitter,YouTubeeLinkedIn(inglese).",text,7,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,"Se hai bisogno di supporto per adottare una dieta vegetale, o se sei solo in cerca di ricette e ispirazione, registrati sul nostro sito e potrai accedere a tutte le risorse che abbiamo creato per te:",text,8,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,SCEGLI VEGAN,text,9,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
